pet_id,species,size_class,age,weight,heart_rate,temperature,spo2,activity_index,steps,activity_ratio_3day,hr_deviation_pct,temp_deviation_c,label,label_name
266,dog,large,0.5,19.75,120.8,39.35,95.7,1.369,422,1.441,27.26,-0.15,1,active
51,cat,n/a,11.26,2.0,192.6,38.57,88.9,1.023,41,0.469,26.92,-1.13,3,anomaly
216,dog,small,0.26,7.01,107.2,38.48,96.1,1.022,20,0.973,2.84,-1.02,0,resting
27,cat,n/a,1.26,6.07,224.2,38.99,96.0,1.827,637,2.008,32.55,-1.01,1,active
347,dog,toy,0.93,3.71,168.0,38.38,96.6,1.006,15,0.329,1.41,-1.12,2,stressed
299,dog,large,4.0,40.93,80.1,38.67,97.2,1.061,43,1.182,-1.51,-0.83,0,resting
276,cat,n/a,5.43,3.95,183.1,38.83,96.8,0.999,30,0.942,5.27,-1.17,0,resting
75,dog,giant,5.07,76.68,129.3,40.14,96.8,1.048,34,0.294,99.44,0.64,3,anomaly
494,dog,medium,3.74,21.28,91.3,38.34,96.8,1.014,33,1.027,-2.69,-1.16,0,resting
202,dog,medium,4.19,20.5,154.1,38.35,97.6,1.029,27,0.517,76.84,-1.15,2,stressed
88,dog,giant,7.12,52.0,143.2,38.88,95.6,0.94,32,0.435,144.66,-0.62,2,stressed
196,dog,giant,7.54,43.83,135.8,39.94,97.0,1.073,17,0.612,145.09,0.44,3,anomaly
411,dog,toy,0.15,3.77,129.5,39.14,96.3,2.321,661,2.151,-5.91,-0.36,1,active
407,dog,large,6.95,55.96,151.3,38.86,95.4,1.014,15,0.112,133.69,-0.64,3,anomaly
314,cat,n/a,1.66,5.18,192.9,38.87,97.2,1.029,18,0.88,-1.95,-1.13,0,resting
131,cat,n/a,0.15,1.5,168.9,38.82,96.9,1.026,0,0.918,-5.59,-1.18,0,resting
484,dog,small,6.67,7.59,106.6,38.54,97.8,0.964,16,0.856,3.77,-0.96,0,resting
419,dog,giant,0.63,74.6,95.2,38.6,98.2,1.877,442,1.803,20.75,-0.9,1,active
202,dog,medium,4.19,20.5,116.5,38.43,96.3,1.475,667,1.838,33.74,-1.07,1,active
8,dog,large,3.83,39.36,74.5,38.21,98.2,1.04,36,0.751,-0.36,-1.29,0,resting
248,cat,n/a,2.34,1.5,239.7,39.28,97.7,1.042,8,0.357,38.91,-0.72,2,stressed
186,dog,giant,0.29,83.34,94.1,38.56,97.6,0.989,22,0.9,0.51,-0.94,0,resting
475,cat,n/a,4.65,4.91,196.6,38.89,99.3,1.01,3,1.149,3.81,-1.11,0,resting
438,dog,giant,0.86,57.39,91.3,38.56,96.5,0.981,28,1.189,9.3,-0.94,0,resting
227,dog,medium,7.48,16.74,101.1,38.58,97.4,1.057,16,1.012,-1.87,-0.92,0,resting
410,dog,giant,8.75,65.78,58.9,38.34,96.6,0.989,36,0.917,4.54,-1.16,0,resting
401,dog,giant,14.3,45.48,139.4,39.62,96.7,1.064,34,0.45,124.45,0.42,3,anomaly
253,dog,medium,3.59,29.67,88.5,38.59,97.1,1.04,15,1.059,-4.95,-0.91,0,resting
476,dog,medium,7.58,15.1,82.2,38.42,99.4,1.019,12,1.152,-8.05,-1.08,0,resting
91,cat,n/a,3.29,6.09,234.2,39.09,97.9,2.051,481,2.316,42.71,-0.91,1,active
98,dog,large,4.65,42.2,89.3,38.94,97.6,1.547,341,1.555,38.43,-0.56,1,active
447,dog,medium,0.3,11.56,122.2,40.57,95.9,1.085,25,0.576,26.77,1.07,3,anomaly
416,cat,n/a,12.51,3.98,233.7,40.28,97.2,1.061,11,0.857,51.93,0.58,3,anomaly
315,dog,small,6.66,10.99,109.9,38.48,98.5,1.028,17,1.0,-1.44,-1.02,0,resting
286,dog,medium,1.99,16.21,122.5,38.8,98.8,1.542,458,1.745,28.94,-0.7,1,active
303,cat,n/a,1.9,3.98,169.3,39.09,98.3,1.013,3,1.013,2.64,-0.91,0,resting
345,cat,n/a,3.23,5.81,191.1,38.86,98.3,1.039,31,0.792,4.3,-1.14,0,resting
85,cat,n/a,9.53,1.5,213.5,39.01,95.5,1.548,735,1.254,8.8,-0.99,1,active
468,cat,n/a,0.15,8.33,215.2,39.02,96.3,1.863,472,1.721,15.44,-0.98,1,active
435,dog,toy,2.68,2.61,149.4,41.03,95.3,0.965,24,0.558,12.16,1.53,3,anomaly
386,dog,toy,2.87,3.86,135.7,38.69,98.1,1.005,28,1.006,-5.62,-0.81,0,resting
260,cat,n/a,1.56,5.94,210.9,39.28,96.3,1.645,595,2.034,20.97,-0.72,1,active
162,dog,medium,0.15,16.76,107.2,38.3,95.3,1.05,24,0.907,-6.26,-1.2,0,resting
24,cat,n/a,5.24,4.13,226.7,39.14,95.2,1.305,748,1.566,42.25,-0.86,1,active
412,dog,small,3.49,9.21,136.2,39.07,95.9,1.738,870,1.572,33.82,-0.43,1,active
493,cat,n/a,7.09,2.26,157.4,38.96,96.9,1.01,12,1.006,0.3,-1.04,0,resting
328,dog,medium,1.33,30.84,91.7,38.4,97.0,1.001,34,0.824,4.55,-1.1,0,resting
91,cat,n/a,3.29,6.09,227.3,39.23,98.0,1.305,609,1.821,38.49,-0.77,1,active
